InputTextID,InputText,PerturbationID,PerturbedText,OriginalOutput,PerturbedOutput,OriginalTime,PerturbedTime
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Introducing Typos,"teurers -cShortkselleas,lWalh Skxeet'w xyiwalingibznn oveultra-cynvcs, dueoseeing oreen agnqn. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Business,,1.529675245,0.661345005
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Deleting Characters,"Reuter- hrtsllr, Wall tret's windlig\band oul-ns,are seen green aan. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Business,Business,1.529675245,0.874186516
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Replacing Synonyms,"Reuters - Short-sellers, wall Street's dwindling\band of ultra-cynics, are see viridity again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Business,,1.529675245,0.843786001
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Adding random words,"Reuters - pear Short-sellers, Wall grape Street's grape dwindling\band of grape ultra-cynics, banana are seeing green again. pear Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Business,Business,1.529675245,1.102142334
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Converting to l33t format,"R3ut3rs - Sh0rt-s3ll3rs, W4ll Str33t's dwindling\band of ultr4-cyn1cs, are seeing gr33n again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Business,,1.529675245,0.598294735
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Shuffling characters in each word,"Reuters - Srssh-toeellr, Wall Sttr'ees dildiawnnn\gbd of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Business,Business,1.529675245,0.764473677
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Adding spaces in text,"R eut ers  -  Shor t- se lle rs,  Wa ll S tr e e t' s  d windlin g\ba nd  o f ul tra- cynic s,  a re   see ing   gr ee n   agai n . Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Business,Business,1.529675245,0.746407032
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Adding random characters,"Repucters - Sghotrt-ssexlleres, Wall Streeqtf'sb kdywpinndlsings\tband of kuvltra-ycyniccs, maref seesinqgz lgreen vagaainw. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Business,,1.529675245,0.564148664
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Swapping two random characters in each word,"Reuters - Sroht-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green anaig. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Business,Business,1.529675245,0.746728897
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Replacing words with their antonyms,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, differ seeing ripe again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Business,Business,1.529675245,0.53350091
