inputID,input,task,source
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser""",sentiment analysis,https://huggingface.co/datasets/carblacac/twitter-sentiment-analysis
sa2,"""thank you so much, looking at these pics makes me want to have one more""",sentiment analysis,https://huggingface.co/datasets/carblacac/twitter-sentiment-analysis
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day""",sentiment analysis,https://huggingface.co/datasets/carblacac/twitter-sentiment-analysis
sa4,"""Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead.""",sentiment analysis,https://huggingface.co/datasets/carblacac/twitter-sentiment-analysis
sa5,"""Hoping I at least have fun 2nite. Today was 1 horrible way 2 start off a birthday""",sentiment analysis,https://huggingface.co/datasets/carblacac/twitter-sentiment-analysis
sa6,"I got the Echo Pop for the wall mount after already having a few other Echo devices.For some reasion, this one cannot understand me.For another unknown reason, it also cannot maintain an internet connection, spite the fact that: A, it's next to the modem and B, I have another Echo in the same location, doing the same job, with connection issues.All in all, go for one of the other Echo devices. This one is crap -- Whether it be the firmware of this specific one I have or what, I don't know.I just know it's going in the bin. Too frustrating to keep.",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_unknown?ie=UTF8&reviewerType=all_reviews&filterByStar=one_star&pageNumber=1
sa7,"The product stopped working.  When it did work it seemed to be snooping, if not why does it have a ""remove all converstion"" feature. It had a red band and button, the online fixes didn't work. I Chatted to Amazon support and told I would receive an email. The email requested feedback, what for? I didn't receive any support. I would not buy this product and Amazon support doesn't exist, it sucks!",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_unknown?ie=UTF8&reviewerType=all_reviews&filterByStar=one_star&pageNumber=1
sa8,"Cannot connect to Samsung S21 Ultra, and NO support and or assistance from AMAZON when trying to login with my account, says no record of this account!! Amazon don't have a problem offering a GREAT buy/discount when purchasing other items, only problem is the items offered have no support and or connecting capabilities with certain phones",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_unknown?ie=UTF8&reviewerType=all_reviews&filterByStar=one_star&pageNumber=1
sa9,Bought this one to replace my 6 months old echo dot. Audio quality is significantly worse than the old one. (Sound very cheap) Don’t bother if you are thinking to upgrade. This is a downgrade version.,sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_unknown?ie=UTF8&reviewerType=all_reviews&filterByStar=one_star&pageNumber=1
sa10,I do NOT like the fact this has to remained plugged in to work. No wifi capacity makes this a no-go for me.,sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_unknown?ie=UTF8&reviewerType=all_reviews&filterByStar=one_star&pageNumber=1
sa11,"I was offered this for $20... Can't use it properly even as a speaker for your music, which was the least I was expecting it to do.",sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_unknown?ie=UTF8&reviewerType=all_reviews&filterByStar=one_star&pageNumber=1
sa12,Very complicated unable to understand app not very user friendly,sentiment analysis,https://www.amazon.com.au/Echo-Pop-Full-Sound-Compact-Smart-Speaker-With-Alexa-Lavender-Bloom/product-reviews/B09ZXF8YM4/ref=cm_cr_unknown?ie=UTF8&reviewerType=all_reviews&filterByStar=one_star&pageNumber=1
