inputID,input,task,source
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now",toxicity detection,https://www.kaggle.com/competitions/jigsaw-toxic-comment-classification-challenge/data
td2,D'aww! He matches this background colour I'm seemingly stuck with. Thanks.,toxicity detection,https://www.kaggle.com/competitions/jigsaw-toxic-comment-classification-challenge/data
td3,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual info.",toxicity detection,https://www.kaggle.com/competitions/jigsaw-toxic-comment-classification-challenge/data
td4,"I can't make any real suggestions on improvement - I wondered if the section statistics should be later on, or a subsection of """"types of accidents""""  -I think the references may need tidying so that they are all in the exact same format ie date format etc. I can do that later on, if no-one else does first - if you have any preferences for formatting style on references or want to do it yourself please let me know.",toxicity detection,https://www.kaggle.com/competitions/jigsaw-toxic-comment-classification-challenge/data
td5,There appears to be a backlog on articles for review so I guess there may be a delay until a reviewer turns up. It's listed in the relevant form eg Wikipedia:Good_article_nominations,toxicity detection,https://www.kaggle.com/competitions/jigsaw-toxic-comment-classification-challenge/data
td6,"Congratulations from me as well, use the tools well.",toxicity detection,https://www.kaggle.com/competitions/jigsaw-toxic-comment-classification-challenge/data
td7,"Your vandalism to the Matt Shirvington article has been reverted.  Please don't do it again, or you will be banned.",toxicity detection,https://www.kaggle.com/competitions/jigsaw-toxic-comment-classification-challenge/data
td8,"Sorry if the word 'nonsense' was offensive to you. Anyway, I'm not intending to write anything in the article(wow they would jump on me for vandalism), I'm merely requesting that it be more encyclopedic so one can use it for school as a reference. I have been to the selective breeding page but it's almost a stub. It points to 'animal breeding' which is a short messy article that gives you no info. There must be someone around with expertise in eugenics?",toxicity detection,https://www.kaggle.com/competitions/jigsaw-toxic-comment-classification-challenge/data
td9,alignment on this subject and which are contrary to those of DuLithgow,toxicity detection,https://www.kaggle.com/competitions/jigsaw-toxic-comment-classification-challenge/data
td10,"Thanks for uploading Image:Wonju.jpg. I notice the image page specifies that the image is being used under fair use but there is no explanation or rationale as to why its use in Wikipedia articles constitutes fair use. In addition to the boilerplate fair use template, you must also write out on the image description page a specific explanation or rationale for why using this image in each article is consistent with fair use.",toxicity detection,https://www.kaggle.com/competitions/jigsaw-toxic-comment-classification-challenge/data
