InputTextID,InputText,PerturbationID,PerturbedText,OriginalOutput,PerturbedOutput,OriginalTime,PerturbedTime
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Introducing Typos,"'Reutors - Short-sellers, Wall Stre's dwinddling\ndand of ulrta-cynics, r seaing grenn agian.' Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",The news text falls under the category of Business.,"Based on the given text, the news text would fall under the category of Business.",1.67335391,7.713905096
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Deleting Characters,"Reuters - h-sers, Wall Street's wining and of ultra-cynics, are seeing en again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",The news text falls under the category of Business.,"Based on the given text, it is difficult to determine the category accurately as the content appears to be incoherent and contains several misspellings. However, if we assume some potential corrections, we could categorize it as follows:

Business: Referring to Wall Street and investors.
Science/Technology: Mentioning ultra-cynics.

Please note that this categorization is based on assumptions and it is advised to provide accurate and comprehensive text for a more precise categorization.",1.67335391,7.310352802
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Replacing Synonyms,"1. Short-sellers, a diminishing group of skeptical individuals on Wall Street, are once more experiencing financial gains.
2. Short-sellers, a small group of pessimistic individuals on Wall Street, are once again making profits. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",The news text falls under the category of Business.,Business,1.67335391,0.714797735
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Adding random words,"'Reuters - Short-sellers, Wall Street's dwindling band of ultra-cynics, are seeing green again.' Please add random words for each sentence in this text. Choose from the following: Apple, Pear, Banana, Grape

'Reuters - Banana, Short-sellers, Apple Wall Street's Grape dwindling band of ultra-cynics, Pear are seeing green again.' Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",The news text falls under the category of Business.,This news text belongs to the Business category.,1.67335391,1.339143276
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Converting to l33t format,"'R3ut3rs - Sh0rt-53ll3r5, Wall Str33t's dw1ndl1ng\640nd 0f ultr4-cyn1c5, 4r3 53eing gr33n 4g41n.' Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",The news text falls under the category of Business.,Business,1.67335391,0.712267876
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Shuffling characters in each word,"'urtesR - Sellers-thort, dtSletla's gnilwdni\bod fo tiAmcysrn, rea gniees neerg naig.' Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",The news text falls under the category of Business.,"Based on the given text, it is not possible to categorize it into specific news categories. The text appears to be jumbled and contains random letters and punctuation marks that do not form coherent sentences or convey any meaningful information.",1.67335391,3.734309196
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Adding spaces in text,"'Reuters - Short-sellers, Wall Street's dwindling 
   band of ultra-cynics, are seeing green again.' 
Please add lots of spaces randomly for each sentence 
   in-between this text. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",The news text falls under the category of Business.,"Category: Business

'Reuters - Short-sellers, Wall Street's dwindling     
  band of ultra-cynics, are seeing green again.'",1.67335391,2.846780062
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Adding random characters,"'Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again.' 

QWEDAS - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. 

Asdfjkl - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. 

Gqkx - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. 

Tbyuo - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. 

Zxcvbnm - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",The news text falls under the category of Business.,"Based on the given news text, it belongs to the Business category.",1.67335391,3.428300858
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Swapping two random characters in each word,"'Reurtse - Stonos-lieres, Wlal Streat's dwilndig snad of ulrta-cisyns, are sneig gneer aigan.' Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",The news text falls under the category of Business.,"Based on the given text, it is not possible to categorize it into any of the provided categories (World, Sports, Business, Science/Technology). The text appears to be scrambled or contains typos and does not provide any clear information relating to any specific category.",1.67335391,6.04362011
nc1,"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again. Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",Replacing words with their antonyms,"'Reuters - Long-investors, Wall Street's thriving band of optimists, are seeing red again.' Categorize the news text into the following categories: World, Sports, Business, Science/Technology.",The news text falls under the category of Business.,Business,1.67335391,0.566642284
